id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1403350,Enjoy journey in sweet room 2,7199088,Kuldeep,Ciutat Vella,el Raval,41.37600830942332,2.172384928369585,Private room,41,1,63,2016-10-31,1.55,3,360
11942321,"Double room, city center",63759660,Monia,Ciutat Vella,el Raval,41.37951119541691,2.167357427146781,Private room,35,3,5,2016-10-24,0.70,1,353
1368985,Rent Rooms - Barcelona - Ramblas,7416756,Mario,Ciutat Vella,el Raval,41.38523749073636,2.169412869597717,Private room,35,1,164,2016-11-28,4.33,2,288
11671479,Cozy flat with private rooftop,41829664,Elliot,Ciutat Vella,el Raval,41.377158564881206,2.170057183020607,Private room,30,1,0,,,1,0
4795262,Beautiful room in Universitatcenter,24711930,Cristina,Ciutat Vella,el Raval,41.3815182532658,2.1647379120094365,Private room,31,1,154,2016-12-03,7.88,3,277
15525883,una habitación privada,17033656,Olga,Ciutat Vella,el Raval,41.37834818341802,2.1639060164975503,Private room,15,14,0,,,1,38
7137829,Central Double Room with Sunny Terrace,37384157,Valentina,Ciutat Vella,el Raval,41.37564743832953,2.16913890458608,Private room,25,2,1,2016-12-01,1,3,65
10798668,Single Room in the heart of BCN!,42624449,Isabel,Ciutat Vella,el Raval,41.37882804981876,2.1732359796110803,Private room,25,3,36,2016-11-20,3.45,2,71
13819298,LAS RAMBLAS! Incredible double room & balcony B&B,81143689,Maria Dolores,Ciutat Vella,el Raval,41.37979090406236,2.1724805906721043,Private room,55,2,13,2016-10-31,3.15,4,1
16218253,Special Room for two peoples,101342929,Diego,Ciutat Vella,el Raval,41.383490529248995,2.168197450186053,Private room,16,1,0,,,2,364
3624854,Space & comfort at the heart of BCN,15679416,Hamza,Ciutat Vella,el Raval,41.37852760847849,2.1736475730628126,Private room,45,2,15,2016-11-01,0.52,1,355
1585899,Private room in central Barcelona,4280580,Duda,Ciutat Vella,el Raval,41.38077951947472,2.1653002398616152,Private room,30,2,6,2016-09-30,0.21,3,176
15343346,Room in Ramblas area . WiFi.,1743357,Gabriela,Ciutat Vella,el Raval,41.383450325502956,2.1693506100442788,Private room,50,2,1,2016-10-12,0.52,1,334
12620995,Nice double room in the city center,49704172,Mae,Ciutat Vella,el Raval,41.37833171135373,2.170887428196592,Private room,40,1,28,2016-11-18,3.87,3,29
208684,THE WAY WE LIVE with private bath,1027356,Jesper,Ciutat Vella,el Raval,41.37885833780093,2.1688392668437295,Private room,40,1,201,2016-11-02,3.14,4,162
6028670,Amazing private room in penthouse,31286918,Alex❤Claudia,Ciutat Vella,el Raval,41.37849705498013,2.1649105676387954,Private room,39,3,39,2016-10-08,2.15,1,331
12528102,Habitación vistas espectaculares.,45101786,Carlos,Ciutat Vella,el Raval,41.37567846552319,2.1713547336635264,Private room,50,2,36,2016-12-06,4.74,1,138
1335093,Enjoy journey in sweet room 1,7199088,Kuldeep,Ciutat Vella,el Raval,41.37580805047438,2.1724221452471673,Private room,31,1,133,2016-10-25,3.35,3,357
14449146,Nice apartment in Barcelona,36929144,Sara,Ciutat Vella,el Raval,41.3776742245702,2.1715112519180932,Private room,50,1,5,2016-11-12,2.21,1,180
10988954,Spacious Room In The Centre Of BCN,13370687,Nick,Ciutat Vella,el Raval,41.38015127791519,2.1665639789062165,Private room,25,1,54,2016-12-07,5.57,1,37
16039572,Room with private bath in Barcelona center,41767442,Maurizio,Ciutat Vella,el Raval,41.379743527511486,2.1672100288391514,Private room,30,3,0,,,3,129
14379760,"Double Room - CENTER,  Amazing & Peaceful Location",39430002,Ivan,Ciutat Vella,el Raval,41.38050198137638,2.1639810538743003,Private room,50,2,19,2016-12-08,4.96,2,79
13382724,Habiatcion privada  barcelona centro,76072520,Rafael,Ciutat Vella,el Raval,41.377974622844086,2.1668353498883586,Private room,28,1,6,2016-08-29,1.05,1,76
8336775,Bright double room near La Rambla,39968342,Valentin,Ciutat Vella,el Raval,41.377742251176365,2.171930299585383,Private room,24,4,3,2016-04-26,0.20,1,0
8268211,Cozy double room in Raval,32562724,Lucas,Ciutat Vella,el Raval,41.378783139873846,2.170143270504134,Private room,35,2,32,2016-12-04,2.12,1,20
3480758,EL RAVAL-Cozy Room with Balcony,4212468,Emy & Alex,Ciutat Vella,el Raval,41.3835867811789,2.169966639795253,Private room,40,1,57,2016-10-25,2.00,2,55
9071596,Buena onda! Nice time! Perfect Spot,44840307,Adriana,Ciutat Vella,el Raval,41.382055320151856,2.170037756414385,Private room,38,1,22,2016-11-01,2.57,1,357
10242658,Apt for groups less 5min Ramblas,52625826,Carlos&Joana,Ciutat Vella,el Raval,41.378637943069634,2.1728798868586146,Entire home/apt,90,1,6,2016-08-18,0.59,3,356
10094329,Room in huge flat in Raval + window,1122938,Lena,Ciutat Vella,el Raval,41.37800096588396,2.1737071905884733,Private room,45,2,3,2016-11-03,0.48,3,210
9306883,On the Ramblas Port Vell 2 bedrooms,4396136,Marisa,Ciutat Vella,el Raval,41.37875748000696,2.1752950738082943,Entire home/apt,93,3,19,2016-11-29,1.51,5,321
13567392,"Double Room w. Balcony/Priv Bathroom, Raval Center",4092770,Luka,Ciutat Vella,el Raval,41.38191021787601,2.168856973851971,Private room,50,4,11,2016-09-21,2.12,2,158
